"","AU","TI","SO","DT","DT2","DI","SN","PN","PP","PU","VL","PY","DB","TC","CR","C1","AU_UN","SR_FULL","SR"
", 2017, ",";TH SCHOTT THS;EE RODEN EER;DE ARMSTRONG DEA","BIOGEOCHEMICAL CONTROLS ON MERCURY METHYLATION IN THE ALLEQUASH CREEK WETLAND"," SCIENCE AND POLLUTION ","HTML","ARTICLE",NA,NA,NA,NA,"SPRINGER",NA,2017,"ISI",NA,"none",NA,NA,", 2017, ",", 2017, "
", 2008, ",";CL BABIARZ CLB;MM SHAFER MMS;DE ARMSTRONG DEA;","FACTORS CONTROLLING TEMPORAL AND SPATIAL DISTRIBUTION OF TOTAL MERCURY AND METHYLMERCURY IN HYPORHEIC SEDIMENTS OF THE ALLEQUASH CREEK WETLAND, NORTHERN WISCONSIN","JOURNAL OF ",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2008,"ISI",NA,"none",NA,NA,", 2008, ",", 2008, "
", 2001, ",";AW ANDREN AWA;MM SHAFER MMS;DE ARMSTRONG DEA","DETERMINATION OF SILVER SPECIATION IN NATURAL WATERS. 2. BINDING STRENGTH OF SILVER LIGANDS IN SURFACE FRESHWATERS"," SCIENCE \& TECHNOLOGY",NA,"ARTICLE",NA,NA,NA,NA,"ACS PUBLICATIONS",NA,2001,"ISI",NA,"none",NA,NA,", 2001, ",", 2001, "
"LM ZELEWSKI LMZ, 2001, ","LM ZELEWSKI LMZ;DP KRABBENHOFT DPK;DE ARMSTRONG DEA","TRACE METAL CONCENTRATIONS IN SHALLOW GROUND WATER","GROUNDWATER",NA,"ARTICLE",NA,NA,NA,NA,"WILEY ONLINE LIBRARY",NA,2001,"ISI",NA,"none",NA,NA,"LM ZELEWSKI LMZ, 2001, ","LM ZELEWSKI LMZ, 2001, "
"RG STRIEGL RGS, 1990, ","RG STRIEGL RGS;DE ARMSTRONG DEA","CARBON DIOXIDE RETENTION AND CARBON EXCHANGE ON UNSATURATED QUATERNARY SEDIMENTS","GEOCHIMICA ET COSMOCHIMICA ACTA",NA,"ARTICLE",NA,NA,NA,NA,"ELSEVIER",NA,1990,"ISI",NA,"none",NA,NA,"RG STRIEGL RGS, 1990, ","RG STRIEGL RGS, 1990, "
"DB MCLAUGHLIN DBML, 1993, ","DB MCLAUGHLIN DBML;DE ARMSTRONG DEA;","36 OXIDATION OF POLYCHLORINATED BIPHENYL CONGENERS SORBED TO PARTICLES","PROCEEDINGS OF THE 48TH ",NA,"ARTICLE",NA,NA,NA,NA,"BOOKS.GOOGLE.COM",NA,1993,"ISI",NA,"none",NA,NA,"DB MCLAUGHLIN DBML, 1993, ","DB MCLAUGHLIN DBML, 1993, "
"DE ARMSTRONG DEA, 1992, ","DE ARMSTRONG DEA;MM SHAFER MMS;KE DEAN KED","ROLE OF MOBILE COLLOIDS IN THE TRANSPORT OF CHEMICAL POLLUTANTS IN GROUNDWATERS",NA,"CITATION","BOOK",NA,NA,NA,NA,"WATER RESOURCES CENTER",NA,1992,"ISI",NA,"none",NA,NA,"DE ARMSTRONG DEA, 1992, ","DE ARMSTRONG DEA, 1992, "
"DE ARMSTRONG DEA, 2006, ","DE ARMSTRONG DEA;CL BABIARZ CLB;MM SHAFER MMS;SC KERR SCK","PROJECT REPORT MERCURY SPECIATION ALONG A GROUNDWATER FLOWPATH",NA,"PDF","BOOK",NA,NA,NA,NA,"WRI.WISC.EDU",NA,2006,"ISI",NA,"none",NA,NA,"DE ARMSTRONG DEA, 2006, ","DE ARMSTRONG DEA, 2006, "
", 2007, ",";MM SHAFER MMS;EE RODEN EER;DE ARMSTRONG DEA","MERCURY METHYLATION, DEMETHYLATION, AND BIOAVAILABILITY IN THE HYPORHEIC SEDIMENTS OF A NORTHERN WISCONSIN WETLAND","AGU FALL MEETING ",NA,"ARTICLE",NA,NA,NA,NA,"ADSABS.HARVARD.EDU",NA,2007,"ISI",NA,"none",NA,NA,", 2007, ",", 2007, "
"RW STOOR RWS, 2002, ","RW STOOR RWS;DE ARMSTRONG DEA;K ROLFHUS KR;L CLECKNER LC;","IMPORTANCE OF GROUNDWATER IN PRODUCTION AND TRANSPORT OF METHYLMERCURY IN LAKE SUPERIOR TRIBUTARIES",NA,"CITATION","BOOK",NA,NA,NA,NA," WISCONSIN WATER RESOURCES INSTITUTE",NA,2002,"ISI",NA,"none",NA,NA,"RW STOOR RWS, 2002, ","RW STOOR RWS, 2002, "
